Replicate,PROP_ID,TOT_DRY_WT,TOT_FRESH_WT,DAYS,WEEKS,AGR,SITE,TREATMENT
4,LA-18,1.980,11.826,192,27.4,0.0103125,VB,A
1,LA-25,0.507,6.082,183,26.1,0.002770491803,MB,A
3,LA-34,2.680,13.927,190,27.1,0.01410526316,MB,A
3,LA-35,0.743,8.407,192,27.4,0.003869791667,MB,A
4,LA-40,3.083,14.534,182,26.0,0.01693956044,MB,A
1,LA-43,1.499,7.634,190,27.1,0.007889473684,PR,A
2,LA-46,2.504,17.559,186,26.6,0.01346236559,PR,A
2,LA-49,1.260,11.865,183,26.1,0.006885245902,PR,A
2,LA-50,-0.248,4.921,182,26.0,-0.001362637363,PR,A
3,LA-53,0.366,5.355,188,26.9,0.001946808511,PR,A
2,RA-10,28.234,102.183,190,27.1,0.1486,OC,A
3,RA-12,16.074,62.944,186,26.6,0.08641935484,OC,A
4,RA-17,23.560,76.382,190,27.1,0.124,OC,A
4,RA-20,22.617,81.629,180,25.7,0.12565,OC,A
1,RA-22,20.267,76.764,178,25.4,0.1138595506,CP,A
1,RA-25,16.467,57.740,184,26.3,0.08949456522,CP,A
2,RA-28,17.804,61.842,190,27.1,0.09370526316,CP,A
4,RA-40,15.085,52.355,188,26.9,0.0802393617,CP,A
3,RA-54,22.554,83.077,181,25.9,0.1246077348,PR,A
3,RA-55,18.558,63.797,183,26.1,0.1014098361,PR,A
4,LB-17,-0.298,1.891,186,26.6,-0.001602150538,VB,B
2,LB-29,-0.765,1.354,178,25.4,-0.004297752809,MB,B
1,LB-45,-0.972,1.126,192,27.4,-0.0050625,PR,B
2,LB-47,-0.618,0.597,190,27.1,-0.003252631579,PR,B
2,LB-49,-1.259,0.501,190,27.1,-0.006626315789,PR,B
3,LB-51,-0.981,0.591,182,26.0,-0.00539010989,PR,B
3,LB-54,-0.390,0.965,183,26.1,-0.002131147541,PR,B
3,LB-55,-1.131,0.879,183,26.1,-0.006180327869,PR,B
4,LB-57,-0.920,0.276,190,27.1,-0.004842105263,PR,B
4,LB-58,-1.277,0.603,186,26.6,-0.006865591398,PR,B
2,RB-10,18.409,58.642,181,25.9,0.1017071823,OC,B
3,RB-13,16.788,55.654,192,27.4,0.0874375,OC,B
4,RB-16,13.236,48.015,180,25.7,0.07353333333,OC,B
4,RB-20,18.241,63.230,185,26.4,0.0986,OC,B
1,RB-23,9.039,32.939,179,25.6,0.0504972067,CP,B
2,RB-26,5.358,50.261,188,26.9,0.0285,CP,B
1,RB-3,17.801,64.422,188,26.9,0.09468617021,OC,B
2,RB-50,21.371,77.046,181,25.9,0.1180718232,PR,B
3,RB-51,14.184,53.167,188,26.9,0.07544680851,PR,B
4,RB-60,19.323,65.113,185,26.4,0.1044486486,PR,B
2,RC-10,19.881,60.034,188,26.9,0.10575,OC,C
3,RC-11,10.790,37.264,188,26.9,0.05739361702,OC,C
4,RC-16,10.170,33.284,181,25.9,0.0561878453,OC,C
4,RC-18,10.865,39.016,179,25.6,0.06069832402,OC,C
1,RC-21,10.384,31.473,188,26.9,0.05523404255,CP,C
3,RC-32,12.067,39.126,181,25.9,0.06666850829,CP,C
3,RC-35,9.485,36.750,184,26.3,0.05154891304,CP,C
1,RC-44,18.329,69.424,188,26.9,0.09749468085,PR,C
1,RC-5,21.493,68.895,184,26.3,0.1168097826,OC,C
2,RC-50,17.505,56.068,178,25.4,0.09834269663,PR,C
3,LD-11,-0.354,0.998,178,25.4,-0.001988764045,VB,D
3,LD-12,-0.431,0.789,184,26.3,-0.002342391304,VB,D
1,LD-2,0.256,1.034,181,25.9,0.001414364641,VB,D
1,LD-24,0.911,5.088,181,25.9,0.005033149171,MB,D
1,LD-3,0.080,2.884,188,26.9,0.0004255319149,VB,D
4,LD-36,-0.090,3.169,188,26.9,-0.0004787234043,MB,D
1,LD-4,1.030,6.131,188,26.9,0.005478723404,VB,D
4,LD-40,-0.566,0.980,184,26.3,-0.003076086957,MB,D
3,LD-54,-1.400,0.807,178,25.4,-0.007865168539,PR,D
4,LD-59,0.335,3.291,188,26.9,0.001781914894,PR,D
1,RD-1,14.364,46.576,188,26.9,0.07640425532,OC,D
1,RD-21,9.194,35.465,178,25.4,0.05165168539,CP,D
1,RD-23,8.698,33.771,184,26.3,0.04727173913,CP,D
2,RD-26,12.502,48.795,188,26.9,0.0665,CP,D
2,RD-29,9.874,36.758,178,25.4,0.05547191011,CP,D
3,RD-31,8.263,30.426,188,26.9,0.04395212766,CP,D
3,RD-32,11.458,39.414,181,25.9,0.0633038674,CP,D
3,RD-51,18.047,69.411,184,26.3,0.09808152174,PR,D
4,RD-59,16.218,53.725,188,26.9,0.08626595745,PR,D
4,RD-60,22.388,76.367,181,25.9,0.1236906077,PR,D
3,LE-12,0.810,6.844,176,25.1,0.004602272727,VB,E
3,LE-13,1.582,9.256,178,25.4,0.008887640449,VB,E
3,LE-15,-0.339,1.575,179,25.6,-0.001893854749,VB,E
2,LE-27,-1.027,2.596,178,25.4,-0.005769662921,MB,E
3,LE-34,-0.034,1.665,176,25.1,-0.0001931818182,MB,E
2,LE-47,0.089,3.755,184,26.3,0.0004836956522,PR,E
4,RE-17,10.455,36.131,188,26.9,0.05561170213,OC,E
1,RE-2,10.922,41.120,184,26.3,0.05935869565,OC,E
1,RE-23,11.701,41.360,178,25.4,0.06573595506,CP,E
1,RE-24,8.374,39.406,181,25.9,0.04626519337,CP,E
1,RE-25,14.764,55.052,188,26.9,0.07853191489,CP,E
2,RE-26,13.349,48.015,184,26.3,0.07254891304,CP,E
3,RE-31,6.332,25.565,181,25.9,0.03498342541,CP,E
3,RE-32,10.303,35.983,173,24.7,0.05955491329,CP,E
4,RE-38,7.400,24.303,188,26.9,0.03936170213,CP,E
2,RE-50,8.922,32.459,188,26.9,0.04745744681,PR,E