DATE RECORDED,TREATMENT,SPECIES,PROP_ID,SAMPLE,TOT_FRESH_WT (g),TOT_DRY_WT (g),NOTES
04/26/2025,A,LARA,LA-40,LEAVES,4.868,1.133,
04/26/2025,A,LARA,LA-40,STEM,2.520,0.701,
04/26/2025,A,LARA,LA-40,DEAD ROOTS,1.219,0.084,
04/26/2025,A,LARA,LA-40,FINE ROOTS,3.135,0.595,
04/26/2025,A,LARA,LA-40,COARSE ROOTS,2.792,0.570,rip in paper bag
04/26/2025,A,LARA,LA-50,LEAVES,1.538,0.123,
04/26/2025,A,LARA,LA-50,STEM,0.878,-0.011,
04/26/2025,A,LARA,LA-50,DEAD ROOTS,0.020,-0.271,
04/26/2025,A,LARA,LA-50,FINE ROOTS,1.777,0.027,
04/26/2025,A,LARA,LA-50,COARSE ROOTS,0.708,-0.116,
04/29/2025,A,LARA,LA-49,LEAVES,3.753,0.654,
04/29/2025,A,LARA,LA-49,STEM,1.781,0.254,
04/29/2025,A,LARA,LA-49,DEAD ROOTS,0.098,-0.279,
04/29/2025,A,LARA,LA-49,FINE ROOTS,2.902,0.224,
04/29/2025,A,LARA,LA-49,COARSE ROOTS,3.331,0.407,
04/29/2025,A,LARA,LA-25,LEAVES,2.401,0.358,
04/29/2025,A,LARA,LA-25,STEM,1.120,0.146,
04/29/2025,A,LARA,LA-25,DEAD ROOTS,0.062,-0.165,
04/29/2025,A,LARA,LA-25,FINE ROOTS,1.584,0.148,
04/29/2025,A,LARA,LA-25,COARSE ROOTS,0.915,0.020,
05/02/2025,A,LARA,LA-53,LEAVES,2.126,0.323,
05/02/2025,A,LARA,LA-53,STEM,0.875,0.047,
05/02/2025,A,LARA,LA-53,DEAD ROOTS,0.001,-0.171,
05/02/2025,A,LARA,LA-53,FINE ROOTS,1.397,0.133,
05/02/2025,A,LARA,LA-53,COARSE ROOTS,0.956,0.034,
05/02/2025,A,LARA,LA-46,LEAVES,6.030,1.087,
05/02/2025,A,LARA,LA-46,STEM,2.754,0.565,
05/02/2025,A,LARA,LA-46,DEAD ROOTS,0.106,-0.264,
05/02/2025,A,LARA,LA-46,FINE ROOTS,4.409,0.525,
05/02/2025,A,LARA,LA-46,COARSE ROOTS,4.260,0.591,
05/06/2025,A,LARA,LA-43,LEAVES,3.043,0.793,
05/06/2025,A,LARA,LA-43,STEM,1.501,0.334,
05/06/2025,A,LARA,LA-43,DEAD ROOTS,0.014,-0.162,
05/06/2025,A,LARA,LA-43,FINE ROOTS,1.577,0.278,
05/06/2025,A,LARA,LA-43,COARSE ROOTS,1.499,0.256,
05/06/2025,A,LARA,LA-34,LEAVES,4.360,0.971,
05/06/2025,A,LARA,LA-34,STEM,2.258,0.542,
05/06/2025,A,LARA,LA-34,DEAD ROOTS,0.111,-0.143,
05/06/2025,A,LARA,LA-34,FINE ROOTS,4.142,0.767,
05/06/2025,A,LARA,LA-34,COARSE ROOTS,3.056,0.543,
05/06/2025,A,LARA,LA-35,LEAVES,2.693,0.412,
05/06/2025,A,LARA,LA-35,STEM,1.700,0.224,
05/06/2025,A,LARA,LA-35,DEAD ROOTS,0.185,-0.243,
05/06/2025,A,LARA,LA-35,FINE ROOTS,1.592,0.072,
05/06/2025,A,LARA,LA-35,COARSE ROOTS,2.237,0.278,
05/06/2025,A,LARA,LA-18,LEAVES,3.973,0.739,
05/06/2025,A,LARA,LA-18,STEM,2.309,0.511,
05/06/2025,A,LARA,LA-18,DEAD ROOTS,0.107,-0.173,
05/06/2025,A,LARA,LA-18,FINE ROOTS,2.886,0.474,
05/06/2025,A,LARA,LA-18,COARSE ROOTS,2.551,0.429,
04/26/2025,A,RHMA,RA-22,LEAVES,11.933,3.332,
04/26/2025,A,RHMA,RA-22,STEM,6.954,2.226,
04/26/2025,A,RHMA,RA-22,HYPO,35.872,11.074,
04/26/2025,A,RHMA,RA-22,DEAD ROOTS,0.235,-0.101,
04/26/2025,A,RHMA,RA-22,FINE ROOTS,6.564,1.540,
04/26/2025,A,RHMA,RA-22,COARSE ROOTS,15.206,2.196,
04/26/2025,A,RHMA,RA-20,LEAVES,13.456,3.751,
04/26/2025,A,RHMA,RA-20,STEM,6.155,2.160,
04/26/2025,A,RHMA,RA-20,HYPO,42.593,13.119,
04/26/2025,A,RHMA,RA-20,DEAD ROOTS,0.026,-0.093,
04/26/2025,A,RHMA,RA-20,FINE ROOTS,8.042,1.814,
04/26/2025,A,RHMA,RA-20,COARSE ROOTS,11.357,1.866,
04/29/2025,A,RHMA,RA-54,LEAVES,13.965,3.562,
04/29/2025,A,RHMA,RA-54,STEM,5.806,1.957,
04/29/2025,A,RHMA,RA-54,HYPO,39.983,12.894,
04/29/2025,A,RHMA,RA-54,DEAD ROOTS,0.039,-0.114,
04/29/2025,A,RHMA,RA-54,FINE ROOTS,6.453,1.524,
04/29/2025,A,RHMA,RA-54,COARSE ROOTS,16.831,2.731,
04/29/2025,A,RHMA,RA-55,LEAVES,8.718,2.428,
04/29/2025,A,RHMA,RA-55,STEM,5.623,1.900,
04/29/2025,A,RHMA,RA-55,HYPO,32.464,11.049,
04/29/2025,A,RHMA,RA-55,DEAD ROOTS,0.108,-0.109,
04/29/2025,A,RHMA,RA-55,FINE ROOTS,7.198,1.603,
04/29/2025,A,RHMA,RA-55,COARSE ROOTS,9.686,1.687,
05/02/2025,A,RHMA,RA-12,LEAVES,9.489,2.685,
05/02/2025,A,RHMA,RA-12,STEM,4.268,1.362,
05/02/2025,A,RHMA,RA-12,HYPO,26.847,8.504,
05/02/2025,A,RHMA,RA-12,DEAD ROOTS,0.166,-0.131,
05/02/2025,A,RHMA,RA-12,FINE ROOTS,5.020,1.126,
05/02/2025,A,RHMA,RA-12,COARSE ROOTS,17.154,2.528,
05/02/2025,A,RHMA,RA-25,LEAVES,7.387,2.137,
05/02/2025,A,RHMA,RA-25,STEM,4.582,1.492,
05/02/2025,A,RHMA,RA-25,HYPO,32.150,10.203,
05/02/2025,A,RHMA,RA-25,DEAD ROOTS,0.007,-0.173,
05/02/2025,A,RHMA,RA-25,FINE ROOTS,6.720,1.669,
05/02/2025,A,RHMA,RA-25,COARSE ROOTS,6.894,1.139,
05/06/2025,A,RHMA,RA-17,LEAVES,13.012,3.675,
05/06/2025,A,RHMA,RA-17,STEM,5.519,1.930,
05/06/2025,A,RHMA,RA-17,HYPO,42.063,13.607,
05/06/2025,A,RHMA,RA-17,DEAD ROOTS,0.061,0.400,
05/06/2025,A,RHMA,RA-17,FINE ROOTS,6.855,1.940,
05/06/2025,A,RHMA,RA-17,COARSE ROOTS,8.872,2.008,
05/06/2025,A,RHMA,RA-40,LEAVES,10.254,2.890,
05/06/2025,A,RHMA,RA-40,STEM,4.611,1.581,
05/06/2025,A,RHMA,RA-40,HYPO,25.156,8.174,
05/06/2025,A,RHMA,RA-40,DEAD ROOTS,0.025,-0.126,
05/06/2025,A,RHMA,RA-40,FINE ROOTS,4.594,1.213,
05/06/2025,A,RHMA,RA-40,COARSE ROOTS,7.715,1.353,
05/06/2025,A,RHMA,RA-28,LEAVES,10.587,3.031,
05/06/2025,A,RHMA,RA-28,STEM,4.840,1.756,
05/06/2025,A,RHMA,RA-28,HYPO,27.498,9.041,
05/06/2025,A,RHMA,RA-28,DEAD ROOTS,0.020,-0.115,
05/06/2025,A,RHMA,RA-28,FINE ROOTS,6.577,1.745,
05/06/2025,A,RHMA,RA-28,COARSE ROOTS,12.320,2.346,
05/06/2025,A,RHMA,RA-10,LEAVES,16.496,4.876,
05/06/2025,A,RHMA,RA-10,STEM,7.955,2.763,
05/06/2025,A,RHMA,RA-10,HYPO,44.901,14.675,
05/06/2025,A,RHMA,RA-10,DEAD ROOTS,0.097,-0.105,
05/06/2025,A,RHMA,RA-10,FINE ROOTS,6.218,1.559,
05/06/2025,A,RHMA,RA-10,COARSE ROOTS,26.516,4.466,
04/26/2025,B,LARA,LB-29,LEAVES,0.347,-0.156,
04/26/2025,B,LARA,LB-29,STEM,0.256,-0.164,
04/26/2025,B,LARA,LB-29,DEAD ROOTS,0.143,-0.201,
04/26/2025,B,LARA,LB-29,FINE ROOTS,0.234,-0.147,
04/26/2025,B,LARA,LB-29,COARSE ROOTS,0.374,-0.097,
04/26/2025,B,LARA,LB-51,LEAVES,0.078,-0.206,
04/26/2025,B,LARA,LB-51,STEM,0.236,-0.169,
04/26/2025,B,LARA,LB-51,DEAD ROOTS,0.090,-0.206,
04/26/2025,B,LARA,LB-51,FINE ROOTS,0.130,-0.191,
04/26/2025,B,LARA,LB-51,COARSE ROOTS,0.057,-0.209,
04/29/2025,B,LARA,LB-55,LEAVES,0.215,-0.183,
04/29/2025,B,LARA,LB-55,STEM,0.216,-0.214,
04/29/2025,B,LARA,LB-55,DEAD ROOTS,0.035,-0.264,
04/29/2025,B,LARA,LB-55,FINE ROOTS,0.197,-0.233,
04/29/2025,B,LARA,LB-55,COARSE ROOTS,0.216,-0.237,
04/29/2025,B,LARA,LB-54,LEAVES,0.191,-0.072,
04/29/2025,B,LARA,LB-54,STEM,0.231,-0.055,
04/29/2025,B,LARA,LB-54,DEAD ROOTS,0.037,-0.119,
04/29/2025,B,LARA,LB-54,FINE ROOTS,0.244,-0.068,
04/29/2025,B,LARA,LB-54,COARSE ROOTS,0.262,-0.076,
05/02/2025,B,LARA,LB-58,LEAVES,0.105,-0.264,
05/02/2025,B,LARA,LB-58,STEM,0.174,-0.245,
05/02/2025,B,LARA,LB-58,DEAD ROOTS,0.021,-0.292,
05/02/2025,B,LARA,LB-58,FINE ROOTS,0.226,-0.233,
05/02/2025,B,LARA,LB-58,COARSE ROOTS,0.077,-0.243,
05/02/2025,B,LARA,LB-17,LEAVES,0.287,-0.083,
05/02/2025,B,LARA,LB-17,STEM,0.495,-0.027,
05/02/2025,B,LARA,LB-17,DEAD ROOTS,0.233,-0.103,
05/02/2025,B,LARA,LB-17,FINE ROOTS,0.344,-0.089,
05/02/2025,B,LARA,LB-17,COARSE ROOTS,0.532,0.004,
05/06/2025,B,LARA,LB-45,LEAVES,0.590,-0.149,
05/06/2025,B,LARA,LB-45,STEM,0.228,-0.184,
05/06/2025,B,LARA,LB-45,DEAD ROOTS,0.051,-0.241,
05/06/2025,B,LARA,LB-45,FINE ROOTS,0.207,-0.169,
05/06/2025,B,LARA,LB-45,COARSE ROOTS,0.050,-0.229,
05/06/2025,B,LARA,LB-47,LEAVES,0.114,-0.143,
05/06/2025,B,LARA,LB-47,STEM,0.192,-0.104,
05/06/2025,B,LARA,LB-47,DEAD ROOTS,0.004,-0.168,
05/06/2025,B,LARA,LB-47,FINE ROOTS,0.251,-0.066,
05/06/2025,B,LARA,LB-47,COARSE ROOTS,0.036,-0.137,
05/06/2025,B,LARA,LB-49,LEAVES,0.087,-0.257,
05/06/2025,B,LARA,LB-49,STEM,0.160,-0.223,
05/06/2025,B,LARA,LB-49,DEAD ROOTS,0.006,-0.275,
05/06/2025,B,LARA,LB-49,FINE ROOTS,0.225,-0.210,
05/06/2025,B,LARA,LB-49,COARSE ROOTS,0.023,-0.294,
05/06/2025,B,LARA,LB-57,LEAVES,0.066,-0.207,
05/06/2025,B,LARA,LB-57,STEM,0.072,-0.202,
05/06/2025,B,LARA,LB-57,DEAD ROOTS,0.014,-0.215,
05/06/2025,B,LARA,LB-57,FINE ROOTS,0.110,-0.155,
05/06/2025,B,LARA,LB-57,COARSE ROOTS,0.014,-0.141,
04/26/2025,B,RHMA,RB-16,LEAVES,6.891,1.915,
04/26/2025,B,RHMA,RB-16,STEM,2.954,0.929,
04/26/2025,B,RHMA,RB-16,HYPO,26.421,8.858,
04/26/2025,B,RHMA,RB-16,DEAD ROOTS,0.118,-0.127,
04/26/2025,B,RHMA,RB-16,FINE ROOTS,2.591,0.016,
04/26/2025,B,RHMA,RB-16,COARSE ROOTS,9.040,1.645,
04/26/2025,B,RHMA,RB-23,LEAVES,4.224,1.123,
04/26/2025,B,RHMA,RB-23,STEM,1.472,0.413,
04/26/2025,B,RHMA,RB-23,HYPO,18.788,5.854,
04/26/2025,B,RHMA,RB-23,DEAD ROOTS,0.288,-0.059,
04/26/2025,B,RHMA,RB-23,FINE ROOTS,2.011,0.617,
04/26/2025,B,RHMA,RB-23,COARSE ROOTS,6.156,1.091,
04/29/2025,B,RHMA,RB-50,LEAVES,12.499,3.515,
04/29/2025,B,RHMA,RB-50,STEM,4.250,1.355,
04/29/2025,B,RHMA,RB-50,HYPO,43.901,13.573,
04/29/2025,B,RHMA,RB-50,DEAD ROOTS,0.371,-0.055,
04/29/2025,B,RHMA,RB-50,FINE ROOTS,2.239,0.519,
04/29/2025,B,RHMA,RB-50,COARSE ROOTS,13.786,2.464,
04/29/2025,B,RHMA,RB-10,LEAVES,6.594,1.822,
04/29/2025,B,RHMA,RB-10,STEM,2.337,0.724,
04/29/2025,B,RHMA,RB-10,HYPO,38.345,13.181,
04/29/2025,B,RHMA,RB-10,DEAD ROOTS,0.208,-0.050,
04/29/2025,B,RHMA,RB-10,FINE ROOTS,3.041,0.966,
04/29/2025,B,RHMA,RB-10,COARSE ROOTS,8.117,1.766,
05/02/2025,B,RHMA,RB-20,LEAVES,7.557,2.338,
05/02/2025,B,RHMA,RB-20,STEM,3.765,1.252,
05/02/2025,B,RHMA,RB-20,HYPO,36.265,11.634,
05/02/2025,B,RHMA,RB-20,DEAD ROOTS,0.259,-0.051,
05/02/2025,B,RHMA,RB-20,FINE ROOTS,4.504,1.160,
05/02/2025,B,RHMA,RB-20,COARSE ROOTS,10.880,1.908,
05/02/2025,B,RHMA,RB-60,LEAVES,8.495,2.257,
05/02/2025,B,RHMA,RB-60,STEM,3.379,1.089,
05/02/2025,B,RHMA,RB-60,HYPO,39.030,13.499,
05/02/2025,B,RHMA,RB-60,DEAD ROOTS,0.131,-0.115,
05/02/2025,B,RHMA,RB-60,FINE ROOTS,2.232,0.501,
05/02/2025,B,RHMA,RB-60,COARSE ROOTS,11.846,2.092,
05/06/2025,B,RHMA,RB-51,LEAVES,5.746,1.625,
05/06/2025,B,RHMA,RB-51,STEM,2.629,0.810,
05/06/2025,B,RHMA,RB-51,HYPO,27.179,8.815,
05/06/2025,B,RHMA,RB-51,DEAD ROOTS,0.031,-0.148,
05/06/2025,B,RHMA,RB-51,FINE ROOTS,2.016,0.406,
05/06/2025,B,RHMA,RB-51,COARSE ROOTS,15.566,2.676,
05/06/2025,B,RHMA,RB-26,LEAVES,8.176,2.367,
05/06/2025,B,RHMA,RB-26,STEM,2.869,0.939,
05/06/2025,B,RHMA,RB-26,HYPO,29.081,-0.037,
05/06/2025,B,RHMA,RB-26,DEAD ROOTS,0.118,-0.142,
05/06/2025,B,RHMA,RB-26,FINE ROOTS,2.352,0.563,
05/06/2025,B,RHMA,RB-26,COARSE ROOTS,7.665,1.668,
05/06/2025,B,RHMA,RB-3,LEAVES,7.810,2.272,
05/06/2025,B,RHMA,RB-3,STEM,2.770,0.881,
05/06/2025,B,RHMA,RB-3,HYPO,38.956,11.949,
05/06/2025,B,RHMA,RB-3,DEAD ROOTS,0.135,-0.124,
05/06/2025,B,RHMA,RB-3,FINE ROOTS,2.735,0.690,
05/06/2025,B,RHMA,RB-3,COARSE ROOTS,12.016,2.133,
05/06/2025,B,RHMA,RB-13,LEAVES,5.819,1.816,
05/06/2025,B,RHMA,RB-13,STEM,2.098,0.653,
05/06/2025,B,RHMA,RB-13,HYPO,33.271,11.353,
05/06/2025,B,RHMA,RB-13,DEAD ROOTS,0.141,-0.100,
05/06/2025,B,RHMA,RB-13,FINE ROOTS,3.552,0.977,
05/06/2025,B,RHMA,RB-13,COARSE ROOTS,10.773,2.089,
04/26/2025,C,RHMA,RC-18,LEAVES,6.331,1.624,
04/26/2025,C,RHMA,RC-18,STEM,2.207,0.600,
04/26/2025,C,RHMA,RC-18,HYPO,20.801,6.795,rip in paper bag
04/26/2025,C,RHMA,RC-18,DEAD ROOTS,0.348,-0.052,
04/26/2025,C,RHMA,RC-18,FINE ROOTS,4.642,0.956,
04/26/2025,C,RHMA,RC-18,COARSE ROOTS,4.687,0.942,
04/26/2025,C,RHMA,RC-50,LEAVES,8.295,2.257,
04/26/2025,C,RHMA,RC-50,STEM,1.921,0.502,
04/26/2025,C,RHMA,RC-50,HYPO,37.205,13.197,
04/26/2025,C,RHMA,RC-50,DEAD ROOTS,0.053,-0.125,
04/26/2025,C,RHMA,RC-50,FINE ROOTS,4.598,1.009,
04/26/2025,C,RHMA,RC-50,COARSE ROOTS,3.996,0.665,
04/29/2025,C,RHMA,RC-32,LEAVES,6.411,1.868,
04/29/2025,C,RHMA,RC-32,STEM,3.171,0.975,
04/29/2025,C,RHMA,RC-32,HYPO,22.766,7.822,
04/29/2025,C,RHMA,RC-32,DEAD ROOTS,0.047,-0.167,
04/29/2025,C,RHMA,RC-32,FINE ROOTS,3.199,0.955,
04/29/2025,C,RHMA,RC-32,COARSE ROOTS,3.532,0.614,
