Collection_Date,Intake_Date,Site,Species,Prop_ID,Treatment,Width,Prop_Length,Rad_Length,Total_Length,Mass,Seed_Color,Data_Collecters,Date_Uploaded,Data_Uploaders,Notes
10/23/24,10/25/24,VB,LARA,LA-1,A,1,1.8,0,1.8,0.33,B,DN,DIRECT UPLOAD,DN,
10/23/24,10/25/24,VB,LARA,LA-2,A,0.83,1.82,0,1.82,0.34,G ,DN,DIRECT UPLOAD,DN,
10/23/24,10/25/24,VB,LARA,LA-3,A,0.95,2.36,0,2.36,0.64,G,DN,DIRECT UPLOAD,DN,
10/23/24,10/25/24,VB,LARA,LA-4,A,1.11,2.06,0,2.06,0.55,B,DN,DIRECT UPLOAD,DN,
10/23/24,10/25/24,VB,LARA,LA-5,A,1.05,1.93,0,1.93,0.42,G,DN,DIRECT UPLOAD,DN,
10/23/24,10/25/24,VB,LARA,LA-6,A,1.12,1.94,0,1.94,0.5,G,DN,DIRECT UPLOAD,DN,
10/23/24,10/25/24,VB,LARA,LA-7,A,0.89,1.87,0,1.87,0.4,G,DN,DIRECT UPLOAD,DN,
10/23/24,10/25/24,VB,LARA,LA-8,A,0.99,1.66,0,1.66,0.37,G,DN,DIRECT UPLOAD,DN,
10/23/24,10/25/24,VB,LARA,LA-9,A,1.16,2.17,0.29,2.46,0.75,B,DN,DIRECT UPLOAD,DN,
10/23/24,10/25/24,VB,LARA,LA-10,A,1.09,1.86,0,1.86,0.47,G,DN,DIRECT UPLOAD,DN,
10/23/24,10/25/24,VB,LARA,LA-11,A,0.98,2.23,0.55,2.78,0.66,G,"SH, ST",DIRECT UPLOAD,ST,
10/23/24,10/25/24,VB,LARA,LA-12,A,1.34,2.52,0,2.52,0.92,G,"SH, ST",DIRECT UPLOAD,ST,
10/23/24,10/25/24,VB,LARA,LA-13,A,1.01,1.82,0,1.82,0.39,G,"SH, ST",DIRECT UPLOAD,ST,
10/23/24,10/25/24,VB,LARA,LA-14,A,1.35,2.44,0.56,3,1,G,"SH, ST",DIRECT UPLOAD,ST,
10/23/24,10/25/24,VB,LARA,LA-15,A,1.3,2.36,0.44,2.8,1.03,G,"SH, ST",DIRECT UPLOAD,ST,
10/23/24,10/25/24,VB,LARA,LA-16,A,1.17,2.22,0.53,2.75,0.77,G,"SH, ST",DIRECT UPLOAD,ST,
10/23/24,10/25/24,VB,LARA,LA-17,A,1.27,2.23,0.77,3,0.95,G,"SH, ST",DIRECT UPLOAD,ST,
10/23/24,10/25/24,VB,LARA,LA-18,A,1.23,2.38,0.7,3.08,0.92,G,"SH, ST",DIRECT UPLOAD,ST,
10/23/24,10/25/24,VB,LARA,LA-19,A,1.2,2.45,0.72,3.17,0.85,G,"SH, ST",DIRECT UPLOAD,ST,
10/23/24,10/25/24,VB,LARA,LA-20,A,0.89,2.21,0.27,2.48,0.72,B,"SH, ST",DIRECT UPLOAD,ST,
10/25/24,10/25/24,MB,LARA,LA-21,A,1.26,1.97,0,1.97,0.71,G,"ES, KR",DIRECT UPLOAD,ES,MEASURED L &W WITH CALIPERS
10/25/24,10/25/24,MB,LARA,LA-22,A,0.92,1.74,0,1.74,0.36,G,"ES, KR",DIRECT UPLOAD,ES,MEASURED L &W WITH CALIPERS
10/25/24,10/25/24,MB,LARA,LA-23,A,1.17,1.54,0,1.54,0.5,G,"ES, KR",DIRECT UPLOAD,ES,MEASURED L &W WITH CALIPERS
10/25/24,10/25/24,MB,LARA,LA-24,A,1.03,1.51,0,1.51,0.39,G,"ES, KR",DIRECT UPLOAD,ES,MEASURED L &W WITH CALIPERS
10/25/24,10/25/24,MB,LARA,LA-25,A,1.03,1.58,0,1.58,0.47,G,"ES, KR",DIRECT UPLOAD,ES,MEASURED L &W WITH CALIPERS
10/25/24,10/25/24,MB,LARA,LA-26,A,1.36,1.9,0,1.9,0.83,G,"ES, KR",DIRECT UPLOAD,ES,MEASURED L &W WITH CALIPERS
10/25/24,10/25/24,MB,LARA,LA-27,A,1.01,1.66,0,1.66,0.51,G,"ES, KR",DIRECT UPLOAD,ES,MEASURED L &W WITH CALIPERS
10/25/24,10/25/24,MB,LARA,LA-28,A,1.03,1.67,0,1.67,0.48,G,"ES, KR",DIRECT UPLOAD,ES,MEASURED L &W WITH CALIPERS
10/25/24,10/25/24,MB,LARA,LA-29,A,1.01,1.59,0.2,1.79,0.52,G,"ES, KR",DIRECT UPLOAD,ES,MEASURED L &W WITH CALIPERS
10/25/24,10/25/24,MB,LARA,LA-30,A,1.1,1.61,0,1.61,0.44,G,"ES, KR",DIRECT UPLOAD,ES,MEASURED L &W WITH CALIPERS
10/25/24,10/25/24,MB,LARA,LA-31,A,1.02,1.59,0,1.59,0.51,GB,"ES, KR",DIRECT UPLOAD,ES,MEASURED L &W WITH CALIPERS
10/25/24,10/25/24,MB,LARA,LA-32,A,0.99,1.95,0.1,2.05,0.54,YG,"ES, KR",DIRECT UPLOAD,ES,MEASURED L &W WITH CALIPERS
10/25/24,10/25/24,MB,LARA,LA-33,A,1.06,1.6,0,1.6,0.51,GB,"ES, KR",DIRECT UPLOAD,ES,MEASURED L &W WITH CALIPERS
10/25/24,10/25/24,MB,LARA,LA-34,A,1.13,1.91,0,1.91,0.59,G,"ES, KR",DIRECT UPLOAD,ES,MEASURED L &W WITH CALIPERS
10/25/24,10/25/24,MB,LARA,LA-35,A,1.03,1.68,0,1.68,0.41,GB,"ES, KR",DIRECT UPLOAD,ES,MEASURED L &W WITH CALIPERS
10/25/24,10/25/24,MB,LARA,LA-36,A,1.24,1.83,0.2,2.03,0.65,G,"ES, KR",DIRECT UPLOAD,ES,MEASURED L &W WITH CALIPERS
10/25/24,10/25/24,MB,LARA,LA-37,A,1.06,1.9,0,1.9,0.5,G,"ES, KR",DIRECT UPLOAD,ES,MEASURED L &W WITH CALIPERS
10/25/24,10/25/24,MB,LARA,LA-38,A,1.04,1.63,0,1.63,0.45,G,"ES, KR",DIRECT UPLOAD,ES,MEASURED L &W WITH CALIPERS
10/25/24,10/25/24,MB,LARA,LA-39,A,1.06,1.62,0,1.62,0.53,G,"ES, KR",DIRECT UPLOAD,ES,MEASURED L &W WITH CALIPERS
10/25/24,10/25/24,MB,LARA,LA-40,A,0.98,1.84,0,1.84,0.51,G,"ES, KR",DIRECT UPLOAD,ES,MEASURED L &W WITH CALIPERS
10/23/24,10/25/24,VB,LARA,LB-1,B,1.1,2.7,0.1,2.8,1.3,G,"SA, AD",10/25/24,ST,
10/23/24,10/25/24,VB,LARA,LB-2,B,1.3,2.7,0,2.7,0.95,G,"SA, AD",10/25/24,ST,
10/23/24,10/25/24,VB,LARA,LB-3,B,1.2,2.5,0.6,3.1,0.9,G,"SA, AD",10/25/24,ST,
10/23/24,10/25/24,VB,LARA,LB-4,B,0.9,1.6,0,1.6,0.33,G,"SA, AD",10/25/24,ST,
10/23/24,10/25/24,VB,LARA,LB-5,B,1.1,2.2,0,2.2,0.59,G,"SA, AD",10/25/24,ST,
10/23/24,10/25/24,VB,LARA,LB-6,B,1,1.9,0,1.9,0.49,G,"SA, AD",10/25/24,ST,
10/23/24,10/25/24,VB,LARA,LB-7,B,1.2,1.9,0,1.9,0.47,G,"SA, AD",10/25/24,ST,
10/23/24,10/25/24,VB,LARA,LB-8,B,1.2,2.5,0.3,2.8,1.06,G,"SA, AD",10/25/24,ST,
10/23/24,10/25/24,VB,LARA,LB-9,B,1.3,2.2,0.5,2.7,0.76,B,"SA, AD",10/25/24,ST,
10/23/24,10/25/24,VB,LARA,LB-10,B,1,1.7,0,1.7,0.33,B,"SA, AD",10/25/24,ST,
10/23/24,10/25/24,VB,LARA,LB-11,B,1.1,1.8,0,1.8,0.33,G,"SA, AD",10/25/24,ST,
10/23/24,10/25/24,VB,LARA,LB-12,B,1.3,1.8,0,1.8,0.42,B,"SA, AD",10/25/24,ST,
10/23/24,10/25/24,VB,LARA,LB-13,B,1.2,1.9,0,1.9,0.51,G,"SA, AD",10/25/24,ST,
10/23/24,10/25/24,VB,LARA,LB-14,B,1.3,2.3,0,2.3,0.73,G,"SA, AD",10/25/24,ST,
10/23/24,10/25/24,VB,LARA,LB-15,B,0.9,1.8,0,1.8,0.38,G,"SA, AD",10/25/24,ST,
10/23/24,10/25/24,VB,LARA,LB-16,B,1.3,2.5,0.4,2.9,1,B,"SA, AD",10/25/24,ST,
10/23/24,10/25/24,VB,LARA,LB-17,B,1,2.3,0.3,2.6,0.59,B,"SA, AD",10/25/24,ST,
10/23/24,10/25/24,VB,LARA,LB-18,B,0.9,1.8,0,1.8,0.37,G,"SA, AD",10/25/24,ST,
10/23/24,10/25/24,VB,LARA,LB-19,B,1.1,2.3,0.2,2.5,0.61,B,"SA, AD",10/25/24,ST,
10/23/24,10/25/24,VB,LARA,LB-20,B,1.3,2.2,0.4,2.6,0.73,B,"SA, AD",10/25/24,ST,
10/25/2024,10/25/2024,MB,LARA,LB-21,B,1.1,1.8,0,1.8,0.33,G,"SA,AD",10/25/24,DG,
10/25/2024,10/25/2024,MB,LARA,LB-22,B,1.1,1.7,0,1.7,0.35,G,"SA,AD",10/25/24,DG,
10/25/2024,10/25/2024,MB,LARA,LB-23,B,1.3,2,0,2,0.38,G,"SA,AD",10/25/24,DG,
10/25/2024,10/25/2024,MB,LARA,LB-24,B,1.4,1.8,0,1.8,0.41,G,"SA,AD",10/25/24,DG,
10/25/2024,10/25/2024,MB,LARA,LB-25,B,1.1,1.9,0,1.9,0.55,G,"SA,AD",10/25/24,DG,
10/25/2024,10/25/2024,MB,LARA,LB-26,B,1.3,2,0,2,0.61,G,"SA,AD",10/25/24,DG,
10/25/2024,10/25/2024,MB,LARA,LB-27,B,1.3,2.1,0,2.1,0.55,G,"SA,AD",10/25/24,DG,
10/25/2024,10/25/2024,MB,LARA,LB-28,B,1.4,1.9,0,1.9,0.46,G,"SA,AD",10/25/24,DG,
10/25/2024,10/25/2024,MB,LARA,LB-29,B,1.2,1.9,0,1.9,0.45,G,"SA,AD",10/25/24,DG,
10/25/2024,10/25/2024,MB,LARA,LB-30,B,1.2,1.8,0,1.8,0.37,G,"SA,AD",10/25/24,DG,
10/25/2024,10/25/2024,MB,LARA,LB-31,B,1.1,1.7,0,1.7,0.33,G,"SA,AD",10/25/24,DG,
10/25/2024,10/25/2024,MB,LARA,LB-32,B,1.1,1.6,0,1.6,0.39,G,"SA,AD",10/25/24,DG,
10/25/2024,10/25/2024,MB,LARA,LB-33,B,1.2,1.7,0,1.7,0.46,G,"SA,AD",10/25/24,DG,
10/25/2024,10/25/2024,MB,LARA,LB-34,B,1.4,2.1,0,2.1,0.53,G,"SA,AD",10/25/24,DG,
10/25/2024,10/25/2024,MB,LARA,LB-35,B,1.2,1.8,0,1.8,0.36,G,"SA,AD",10/25/24,DG,
10/25/2024,10/25/2024,MB,LARA,LB-36,B,1.2,1.7,0,1.7,0.39,G,"SA,AD",10/25/24,DG,
10/25/2024,10/25/2024,MB,LARA,LB-37,B,1.3,1.7,0,1.7,0.4,G,"SA,AD",10/25/24,DG,
10/25/2024,10/25/2024,MB,LARA,LB-38,B,1.1,1.6,0,1.6,0.46,G,"SA,AD",10/25/24,DG,
10/25/2024,10/25/2024,MB,LARA,LB-39,B,1,1.9,0,1.9,0.44,G,"SA,AD",10/25/24,DG,
10/25/2024,10/25/2024,MB,LARA,LB-40,B,1.2,1.9,0,1.9,0.49,G,"SA,AD",10/25/24,DG,
10/26/2024,10/27/2024,PR,LARA,LB-41,B,1.2,2.5,0,2.5,0.89,G,"ES,DG",10/29/24,ES,
10/26/2024,10/27/2024,PR,LARA,LB-42,B,1.5,3,0,3,1.07,G,"ES,DG",10/29/24,ES,
10/26/2024,10/27/2024,PR,LARA,LB-43,B,1.1,2.5,0,2.5,0.79,G,"ES,DG",10/29/24,ES,
10/26/2024,10/27/2024,PR,LARA,LB-44,B,1,2.1,0,2.1,0.71,G,"ES,DG",10/29/24,ES,
10/26/2024,10/27/2024,PR,LARA,LB-45,B,1.3,2.5,0,2.5,0.91,G,"ES,DG",10/29/24,ES,
10/26/2024,10/27/2024,PR,LARA,LB-46,B,1.5,2.4,0,2.4,0.91,G,"ES,DG",10/29/24,ES,
10/26/2024,10/27/2024,PR,LARA,LB-47,B,1.3,2.4,0,2.4,0.73,G,"ES,DG",10/29/24,ES,
10/26/2024,10/27/2024,PR,LARA,LB-48,B,1.2,1.9,0.3,2.2,0.72,G,"ES,DG",10/29/24,ES,
10/26/2024,10/27/2024,PR,LARA,LB-49,B,1.1,2.2,0,2.2,0.76,G,"ES,DG",10/29/24,ES,
10/26/2024,10/27/2024,PR,LARA,LB-50,B,1.1,2.5,0,2.5,0.77,G,"ES,DG",10/29/24,ES,
10/26/2024,10/27/2024,PR,LARA,LB-51,B,1.1,2.3,0.3,2.6,0.8,G,"ES,DG",10/29/24,ES,
10/26/2024,10/27/2024,PR,LARA,LB-52,B,1.3,2,0,2,0.67,G,"ES,DG",10/29/24,ES,
10/26/2024,10/27/2024,PR,LARA,LB-53,B,1.2,1.2,0,1.2,0.81,G,"ES,DG",10/29/24,ES,
10/26/2024,10/27/2024,PR,LARA,LB-54,B,1.1,2.2,0,2.2,0.66,G,"ES,DG",10/29/24,ES,
10/26/2024,10/27/2024,PR,LARA,LB-55,B,1.1,2,0.4,2.4,0.69,,"ES,DG",10/29/24,ES,
10/26/2024,10/27/2024,PR,LARA,LB-56,B,1,1.4,1.8,3.2,0.36,,"ES,DG",10/29/24,ES,
10/26/2024,10/27/2024,PR,LARA,LB-57,B,1,1.5,2.5,4,0.49,,"ES,DG",10/29/24,ES,
10/26/2024,10/27/2024,PR,LARA,LB-58,B,1.4,1.7,1.3,3,0.59,,"ES,DG",10/29/24,ES,
10/26/2024,10/27/2024,PR,LARA,LB-59,B,1.4,1.7,2.3,4,0.62,,"AD,DN",10/29/2024,DN,
10/26/2024,10/27/2024,PR,LARA,LB-60,B,1.4,2.4,0,2.4,0.8,,"AD,DN",10/29/2024,DN,
10/23/2024,10/29/2024,VB,LARA,LC-1,C,1,2.3,0.8,3.1,0.86,B,"AD,DN",10/29/2024,DN,
10/23/2024,10/29/2024,VB,LARA,LC-2,C,1.1,2.5,1,3.5,1,B,"AD,DN",10/29/2024,DN,
10/23/2024,10/29/2024,VB,LARA,LC-3,C,1.2,2.2,0.6,2.8,1,B,"AD,DN",10/29/2024,DN,
10/23/2024,10/29/2024,VB,LARA,LC-4,C,0.9,1.7,0.4,2.1,0.45,B,"AD,DN",10/29/2024,DN,
10/23/2024,10/29/2024,VB,LARA,LC-5,C,0.8,1.9,0.3,2.2,0.52,B,"AD,DN",10/29/2024,DN,
10/23/2024,10/29/2024,VB,LARA,LC-6,C,0.9,1.6,0,1.6,0.36,G,"AD,DN",10/29/2024,DN,
10/23/2024,10/29/2024,VB,LARA,LC-7,C,1.3,2.4,1.1,3.5,1.03,B,"AD,DN",10/29/2024,DN,
10/23/2024,10/29/2024,VB,LARA,LC-8,C,1,2.6,0.3,2.9,1,B,"AD,DN",10/29/2024,DN,
10/23/2024,10/29/2024,VB,LARA,LC-9,C,1.1,2.4,1.3,3.7,0.82,B,"AD,DN",10/29/2024,DN,
10/23/2024,10/29/2024,VB,LARA,LC-10,C,0.9,1.6,0,1.6,0.43,G,"AD,DN",10/29/2024,DN,
10/23/2024,10/29/2024,VB,LARA,LC-11,C,1.1,2.1,0.7,2.8,0.86,B,"AD,DN",10/29/2024,DN,
10/23/2024,10/29/2024,VB,LARA,LC-12,C,1,1.9,0,1.9,0.57,B,"AD,DN",10/29/2024,DN,
10/23/2024,10/29/2024,VB,LARA,LC-13,C,1.1,1.6,0,1.6,0.43,B,"AD,DN",10/29/2024,DN,
10/23/2024,10/29/2024,VB,LARA,LC-14,C,0.9,1.9,0,1.9,0.52,B,"AD,DN",10/29/2024,DN,
10/23/2024,10/29/2024,VB,LARA,LC-15,C,0.9,1.5,0,1.5,0.34,B,"AD,DN",10/29/2024,DN,
10/23/2024,10/29/2024,VB,LARA,LC-16,C,1.2,2.4,1.1,3.5,0.86,B,"AD,DN",10/29/2024,DN,
10/23/2024,10/29/2024,VB,LARA,LC-17,C,1.11,2.48,1.3,3.78,0.23,B,"AD,DN",10/29/2024,DN,
10/23/2024,10/29/2024,VB,LARA,LC-18,C,1.2,2.3,1.1,3.4,0.96,B,"AD,DN",10/29/2024,DN,
10/23/2024,10/29/2024,VB,LARA,LC-19,C,1.1,2.6,0,2.6,0.74,B,"AD,DN",10/29/2024,DN,
10/23/2024,10/29/2024,VB,LARA,LC-20,C,1.1,2.4,1,3.4,0.81,B,"AD,DN",10/29/2024,DN,
10/25/2024,10/29/2024,MB,LARA,LC-21,C,1.3,1.8,0.6,2.4,0.76,B,"AD,DN",10/29/2024,DN,
10/25/2024,10/29/2024,MB,LARA,LC-22,C,1.3,1.5,0.4,1.9,0.51,B,"AD,DN",10/29/2024,DN,
10/25/2024,10/29/2024,MB,LARA,LC-23,C,0.9,1.6,0.8,2.4,0.53,B,"AD,DN",10/29/2024,DN,
10/25/2024,10/29/2024,MB,LARA,LC-24,C,1.1,1.7,0.3,2,0.56,B,"AD,DN",10/29/2024,DN,
10/25/2024,10/29/2024,MB,LARA,LC-25,C,1.1,2.2,0.4,2.6,0.85,B,"AD,DN",10/29/2024,DN,
10/25/2024,10/29/2024,MB,LARA,LC-26,C,1.1,1.7,0.8,2.5,0.7,B,"AD,DN",10/29/2024,DN,
10/25/2024,10/29/2024,MB,LARA,LC-27,C,1.2,1.9,0.6,2.5,0.8,B,"AD,DN",10/29/2024,DN,
10/25/2024,10/29/2024,MB,LARA,LC-28,C,1,1.6,0.6,2.2,0.57,B,"AD,DN",10/29/2024,DN,
10/25/2024,10/29/2024,MB,LARA,LC-29,C,1.1,1.9,0,1.9,0.52,B,"AD,DN",10/29/2024,DN,
10/25/2024,10/29/2024,MB,LARA,LC-30,C,1.1,1.7,0.6,2.3,0.67,B,"AD,DN",10/29/2024,DN,
10/25/2024,10/29/2024,MB,LARA,LC-31,C,1,1.6,0.4,2,0.48,B,"AD,DN",10/29/2024,DN,
10/25/2024,10/29/2024,MB,LARA,LC-32,C,1,1.4,0.4,1.8,0.51,B,"AD,DN",10/29/2024,DN,
10/25/2024,10/29/2024,MB,LARA,LC-33,C,1,1.7,0.6,2.3,0.71,B,"AD,DN",10/29/2024,DN,
10/25/2024,10/29/2024,MB,LARA,LC-34,C,1.1,1.5,0.5,2,0.53,B,"AD,DN",10/29/2024,DN,
10/25/2024,10/29/2024,MB,LARA,LC-35,C,1.3,1.9,0.6,2.5,0.76,B,"AD,DN",10/29/2024,DN,
10/25/2024,10/29/2024,MB,LARA,LC-36,C,1.2,1.7,0.6,2.3,0.59,B,"AD,DN",10/29/2024,DN,
10/25/2024,10/29/2024,MB,LARA,LC-37,C,1.2,1.6,0.4,2,0.62,B,"AD,DN",10/29/2024,DN,
10/25/2024,10/29/2024,MB,LARA,LC-38,C,1.1,1.4,0.5,1.9,0.47,B,"AD,DN",10/29/2024,DN,
10/25/2024,10/29/2024,MB,LARA,LC-39,C,1.2,1.5,0,1.5,0.51,B,"AD,DN",10/29/2024,DN,
10/25/2024,10/29/2024,MB,LARA,LC-40,C,1.1,1.8,0.6,2.4,0.61,B,"AD,DN",10/29/2024,DN,
10/26/2024,10/29/2024,PR,LARA,LC-41,C,1.3,2,3.1,5.1,0.78,B,"AD,DN",10/29/2024,DN,
10/26/2024,10/29/2024,PR,LARA,LC-42,C,1,1.8,0.5,2.3,0.68,G,"AD,DN",10/29/2024,DN,
10/26/2024,10/29/2024,PR,LARA,LC-43,C,1.1,1.6,2,3.6,0.56,B,"AD,DN",10/29/2024,DN,
10/26/2024,10/29/2024,PR,LARA,LC-44,C,1.1,1.7,1.5,3.2,0.55,B,"AD,DN",10/29/2024,DN,
10/26/2024,10/29/2024,PR,LARA,LC-45,C,1.1,1.6,0.3,1.9,0.57,B,"AD,DN",10/29/2024,DN,
10/26/2024,10/29/2024,PR,LARA,LC-46,C,1.2,1.8,0.5,2.3,0.67,B,"AD,DN",10/29/2024,DN,
10/26/2024,10/29/2024,PR,LARA,LC-47,C,1.1,2.2,0.2,2.4,0.66,B,"AD,DN",10/29/2024,DN,
10/26/2024,10/29/2024,PR,LARA,LC-48,C,1.2,1.8,1.4,3.2,0.59,B,"AD,DN",10/29/2024,DN,
10/26/2024,10/29/2024,PR,LARA,LC-49,C,1.3,1.9,1.1,3,0.58,B,"AD,DN",10/29/2024,DN,
10/26/2024,10/29/2024,PR,LARA,LC-50,C,1.2,1.9,0.2,2.1,0.69,B,"AD,DN",10/29/2024,DN,
10/26/2024,10/29/2024,PR,LARA,LC-51,C,1.1,1.8,0.7,2.5,0.63,G,"AD,DN",10/29/2024,DN,
10/26/2024,10/29/2024,PR,LARA,LC-52,C,1.2,1.9,0.3,2.2,0.61,G,"AD,DN",10/29/2024,DN,
10/26/2024,10/29/2024,PR,LARA,LC-53,C,1.1,1.7,0.4,2.1,0.53,G,"AD,DN",10/29/2024,DN,
10/26/2024,10/29/2024,PR,LARA,LC-54,C,1.2,1.8,0.5,2.3,0.63,G,"AD,DN",10/29/2024,DN,
10/26/2024,10/29/2024,PR,LARA,LC-55,C,1.2,1.9,0.4,2.3,0.72,G,"AD,DN",10/29/2024,DN,
10/26/2024,10/29/2024,PR,LARA,LC-56,C,1.3,2.4,0.2,2.6,0.84,G,"AD,DN",10/29/2024,DN,
10/26/2024,10/29/2024,PR,LARA,LC-57,C,1.4,2.2,0,2.2,0.69,G,"AD,DN",10/29/2024,DN,
10/26/2024,10/29/2024,PR,LARA,LC-58,C,1.2,1.8,0.3,2.1,0.62,G,"AD,DN",10/29/2024,DN,
10/26/2024,10/29/2024,PR,LARA,LC-59,C,1,2,0.1,2.1,0.62,G,"AD,DN",10/29/2024,DN,
10/26/2024,10/29/2024,PR,LARA,LC-60,C,1.2,2.1,0,2.1,0.65,G,"AD,DN",10/29/2024,DN,
10/23/2024,10/29/2024,VB,LARA,LD-1,D,0.9,1.4,0.6,2,0.36,B,"AD,DN",10/29/2024,DN,
10/23/2024,10/29/2024,VB,LARA,LD-2,D,0.9,1.8,0.7,2.5,0.48,B,"AD,DN",10/29/2024,DN,
10/23/2024,10/29/2024,VB,LARA,LD-3,D,1,2.1,0.3,2.4,0.51,B,"AD,DN",10/29/2024,DN,
10/23/2024,10/29/2024,VB,LARA,LD-4,D,1.1,2.2,0.7,2.9,0.78,B,"AD,DN",10/29/2024,DN,
10/23/2024,10/29/2024,VB,LARA,LD-5,D,1.2,2.2,1.3,3.5,0.86,B,"AD,DN",10/29/2024,DN,
10/23/2024,10/29/2024,VB,LARA,LD-6,D,1.1,2.3,1,3.3,0.8,B,"AD,DN",10/29/2024,DN,
10/23/2024,10/29/2024,VB,LARA,LD-7,D,1,2,0,2,0.57,G,"AD,DN",10/29/2024,DN,
10/23/2024,10/29/2024,VB,LARA,LD-8,D,1.1,2.2,0.6,2.8,0.68,B,"AD,DN",10/29/2024,DN,
