Date,treatment,n,mean,se
2024-12-11,Soil,4,29.316666666666666,0.40196277697577193
2024-12-11,Crushed glass,4,29.90833333333333,0.582360299572797
2024-12-11,25% SG,4,30.241666666666667,0.14553540997144077
2024-12-11,75% SG,4,30.549999999999997,0.20389721448336165
2024-12-11,100% SG,4,30.283333333333335,0.3611965710841713
2024-12-18,Soil,4,28.266666666666666,0.24532669073132946
2024-12-18,Crushed glass,4,28.316666666666666,0.07515416254704778
2024-12-18,25% SG,4,28.141666666666666,0.18225694113693625
2024-12-18,75% SG,4,28.741666666666667,0.09753916592266397
2024-12-18,100% SG,4,28.341666666666665,0.08646879120151954
2024-12-26,Soil,4,28.5,0.4818944098266987
2024-12-26,Crushed glass,4,28.666666666666664,0.40069384267237673
2024-12-26,25% SG,4,28.9,0.3561626761072137
2024-12-26,75% SG,4,29.633333333333333,0.09906974722292747
2024-12-26,100% SG,4,29.183333333333334,0.2951772850841164
2024-12-30,Soil,4,28.46666666666667,0.8574294053653544
2024-12-30,Crushed glass,4,28.375,0.6258882576875137
2024-12-30,25% SG,4,28.666666666666664,0.13402597868683114
2024-12-30,75% SG,4,29.183333333333334,0.24999999999999994
2024-12-30,100% SG,4,29.308333333333334,0.20564937798755065
2025-01-06,Soil,4,28.625,0.2657536453183666
2025-01-06,Crushed glass,4,29.458333333333332,0.2608302271735531
2025-01-06,25% SG,4,29.025,0.5144891389272217
2025-01-06,75% SG,4,29.45,0.2598076211353319
2025-01-06,100% SG,4,29.141666666666666,0.30863348753761294
2025-01-15,Soil,4,27.25,0.0866025403784435
2025-01-15,Crushed glass,4,27.35,0.19124349420064987
2025-01-15,25% SG,4,26.525,0.3342695186688599
2025-01-15,75% SG,4,27.59166666666667,0.09658521472618688
2025-01-15,100% SG,4,27.341666666666665,0.22499999999999995
2025-01-22,Soil,4,27.325,0.27432577281332815
2025-01-22,Crushed glass,4,27.733333333333334,0.314760343871451
2025-01-22,25% SG,4,27.525,0.4007804885470348
2025-01-22,75% SG,4,27.891666666666666,0.23228933107943942
2025-01-22,100% SG,4,27.758333333333333,0.22126530078919565
2025-01-31,Soil,4,27.833333333333332,0.04906533814626604
2025-01-31,Crushed glass,4,27.783333333333335,0.11262852740396304
2025-01-31,25% SG,4,27.866666666666667,0.104527154012371
2025-01-31,75% SG,4,27.866666666666667,0.06085806194501824
2025-01-31,100% SG,4,27.666666666666668,0.05931710140017424
2025-02-05,Soil,4,26.4,0.23687784005919832
2025-02-05,Crushed glass,4,26.275,0.25653495899230777
2025-02-05,25% SG,4,26.508333333333333,0.1906980354926093
2025-02-05,75% SG,4,26.133333333333333,0.5569427126600951
2025-02-05,100% SG,4,25.866666666666667,0.23452078799117151
2025-02-12,Soil,4,27.625,0.11086778913041728
2025-02-12,Crushed glass,4,26.875,0.6419552020830438
2025-02-12,25% SG,4,27.725,0.2286737122335374
2025-02-12,75% SG,4,27.616666666666667,0.08660254037844424
2025-02-12,100% SG,4,27.491666666666667,0.26610183235969176
2025-02-19,Soil,4,29.516666666666666,0.20838888148345627
2025-02-19,Crushed glass,4,28.358333333333334,0.6215832532659973
2025-02-19,25% SG,4,29.266666666666666,0.3070167084366244
2025-02-19,75% SG,4,29.4,0.40938074282090103
2025-02-19,100% SG,4,29.375,0.42803924188395615
2025-02-26,Soil,4,28.366666666666667,0.12546210878484693
2025-02-26,Crushed glass,4,28.241666666666667,0.32528477552013557
2025-02-26,25% SG,4,28.65,0.2092756466870821
2025-02-26,75% SG,4,28.175,0.21618536285121417
2025-02-26,100% SG,4,28.458333333333332,0.25179908216230196
2025-03-05,Soil,4,28.583333333333332,0.12656428610993933
2025-03-05,Crushed glass,4,28.816666666666666,0.25585730977043203
2025-03-05,25% SG,4,28.983333333333334,0.22669117514558992
2025-03-05,75% SG,4,28.5,0.11303883305208776
2025-03-05,100% SG,4,28.65833333333333,0.23466879733881163
2025-03-12,Soil,4,30.375,0.5907269532815763
2025-03-12,Crushed glass,4,31.583333333333332,0.7144669082350574
2025-03-12,25% SG,4,30.266666666666666,0.7271201439265064
2025-03-12,75% SG,4,31.625,0.2862189656474503
2025-03-12,100% SG,4,31.083333333333332,0.4575498353751768
2025-03-19,Soil,4,28.483333333333334,0.34359213546813816
2025-03-19,Crushed glass,4,28.84166666666667,0.18276426832884435
2025-03-19,25% SG,4,28.53333333333333,0.3800584750330463
2025-03-19,75% SG,4,29.191666666666666,0.036955929710138655
2025-03-19,100% SG,4,28.991666666666667,0.05506729889333045
2025-03-26,Soil,4,29.133333333333333,0.4322636369761539
2025-03-26,Crushed glass,4,28.908333333333335,0.7276770498572075
2025-03-26,25% SG,4,28.766666666666666,0.4782297603701627
2025-03-26,75% SG,4,29.625,0.098483877229088
2025-03-26,100% SG,4,29.675,0.1370151383904283
2025-04-03,Soil,4,29.34166666666667,0.24772109466240605
2025-04-03,Crushed glass,4,29.141666666666666,0.2894359137151921
2025-04-03,25% SG,4,28.883333333333333,0.4021930621719609
2025-04-03,75% SG,4,29.366666666666667,0.2928151989578766
2025-04-03,100% SG,4,28.6,0.3592688047605492
2025-04-09,Soil,4,30.108333333333334,0.20966242709015162
2025-04-09,Crushed glass,4,29.883333333333333,0.6141088092753838
2025-04-09,25% SG,4,30.683333333333334,0.7359171652258658
2025-04-09,75% SG,4,30.058333333333334,0.26783597799980313
2025-04-09,100% SG,4,29.4,0.17266966964355598
2025-04-15,Soil,4,31.333333333333332,0.7060584384585442
2025-04-15,Crushed glass,4,32.333333333333336,1.108469081077007
2025-04-15,25% SG,4,33.358333333333334,1.605971207250777
2025-04-15,75% SG,4,30.433333333333334,0.7051398600435396
2025-04-15,100% SG,4,30.825,0.32670492973187815
